CTYNAME,sum_population_of_county_10_and_older,sum_population_of_county_15_and_older,CBSA
Douglas,4555011,4184549,Metro
Lancaster,2572541,2390994,Metro
Sarpy,1409562,1279442,Metro
Hall,508702,464170,Metro
Buffalo,411628,382335,Micro
Dodge,317388,293828,Micro
Scotts Bluff,315600,291023,Micro
Lincoln,309904,285214,Micro
Madison,300190,277245,Micro
Platte,278521,254907,Micro
Adams,273121,252473,Micro
Cass,220500,201966,Metro
Dawson,203424,184447,Micro
Gage,191781,177754,Micro
Saunders,180792,165590,Metro
Washington,178188,163119,Metro
Dakota,172589,156168,Metro
Seward,147623,136255,Metro
Otoe,137660,126907,Rural
Saline,123395,113915,Rural
York,120192,111920,Rural
Red Willow,96222,89186,Rural
Box Butte,96398,88730,Rural
Custer,94868,87707,Rural
Holt,89853,83159,Rural
Cheyenne,86712,79888,Rural
Wayne,84396,79301,Rural
Colfax,87049,79006,Rural
Dawes,81579,77193,Rural
Phelps,79526,73196,Rural
Hamilton,79781,73041,Metro
Cuming,78913,72266,Rural
Cedar,75007,68883,Rural
Knox,74647,68577,Rural
Keith,73138,68066,Rural
Richardson,72867,67821,Rural
Butler,72123,66120,Rural
Merrick,68467,63157,Metro
Jefferson,65389,60753,Rural
Nemaha,62812,58706,Rural
Pierce,62608,57302,Micro
Burt,58782,54458,Rural
Antelope,56826,52594,Rural
Kearney,56529,52090,Micro
Clay,55307,50751,Rural
Howard,55039,50711,Metro
Thurston,55489,48809,Rural
Fillmore,51063,47618,Rural
Stanton,52001,47445,Micro
Cherry,50590,47012,Rural
Dixon,50808,46465,Metro
Boone,47409,43886,Rural
Johnson,46660,43747,Rural
Sheridan,46849,43290,Rural
Polk,46582,42832,Rural
Thayer,45631,42431,Rural
Furnas,43289,39885,Rural
Morrill,43218,39651,Rural
Nuckolls,39209,36481,Rural
Valley,36934,34215,Rural
Chase,34332,31581,Rural
Kimball,32910,30624,Rural
Webster,32619,30295,Rural
Nance,31994,29484,Rural
Harlan,30555,28494,Rural
Franklin,27921,26078,Rural
Sherman,27278,25317,Rural
Brown,27177,25219,Rural
Hitchcock,25280,23582,Rural
Perkins,25356,23313,Rural
Pawnee,24407,22666,Rural
Frontier,24233,22558,Rural
Greeley,21663,19998,Rural
Boyd,18333,17078,Rural
Garfield,18284,17057,Rural
Garden,17814,16794,Rural
Gosper,17877,16538,Micro
Dundy,17140,15851,Rural
Deuel,17050,15843,Rural
Rock,13032,12175,Rural
Sioux,11564,10680,Micro
Hayes,8263,7733,Rural
Keya Paha,7217,6766,Rural
Wheeler,7134,6643,Rural
Logan,6647,6100,Micro
Hooker,6472,5999,Rural
Banner,6133,5699,Micro
Thomas,5995,5552,Rural
Grant,5565,5246,Rural
Loup,5452,5085,Rural
McPherson,4544,4122,Micro
Blaine,4261,3954,Rural
Arthur,3899,3530,Rural
